FightID,weapon_jedai,armour_jedai,weapon_calmtrooper,armour_calmtrooper,injuries,number_of_fights,force_level,accuracy_calmtrooper,fight_planet,weather_conditions,surprise_attack,moral_jedai,moral_calmtrooper,winner
4424,Double Lightsaber,85.1%,Experimental Weapon,38.0%,Calmtrooper,58.2,75.9,58.3,Mustran,Storm,TRUE,69.0,34.3,1
7080,Ancient Jedai Blade,67.0%,Heavy Blaster,69.2%,Calmtrooper,6.8,45.2,44.3,Kamira,Storm,FALSE,58.5,56.5,0
3785,Double Lightsaber,87.0%,Experimental Weapon,43.7%,Calmtrooper,38.4,78.5,51.4,Hroth,Clear,FALSE,81.3,14.0,1
3591,Double Lightsaber,93.3%,Experimental Weapon,34.5%,Both,79.2,81.8,76.3,Nabira,Sandstorm,TRUE,70.4,27.8,1
3440,Double Lightsaber,81.9%,Experimental Weapon,44.7%,Calmtrooper,99.7,70.9,65.8,Tavooine,Storm,FALSE,95.5,22.7,1
6046,Ancient Jedai Blade,64.7%,Heavy Blaster,63.1%,Jedai,91.2,52.2,48.3,Corsavant,Clear,TRUE,54.5,35.8,1
6781,Ancient Jedai Blade,60.1%,Heavy Blaster,68.6%,Jedai,40.3,54.5,31.1,Hroth,Clear,TRUE,71.4,52.9,1
6976,Ancient Jedai Blade,68.9%,Heavy Blaster,73.3%,Calmtrooper,168.0,59.5,38.7,Hroth,Snow,FALSE,58.7,69.9,1
5214,Double Lightsaber,81.8%,Experimental Weapon,39.5%,Calmtrooper,153.5,74.2,60.4,Tavooine,Clear,TRUE,94.0,44.4,1
878,Single Lightsaber,51.6%,Standard Blaster,80.0%,Jedai,192.9,25.8,30.1,Hroth,Storm,FALSE,31.2,61.6,0
1375,Single Lightsaber,50.1%,Standard Blaster,77.9%,Both,26.7,28.5,65.7,Corsavant,Snow,FALSE,37.6,61.7,0
8767,Ancient Jedai Blade,55.6%,Heavy Blaster,67.2%,Calmtrooper,138.0,67.4,94.7,Tavooine,Sandstorm,TRUE,63.5,71.4,0
2252,Single Lightsaber,54.9%,Standard Blaster,86.7%,Both,73.8,33.3,37.6,Kamira,Snow,FALSE,34.9,66.6,0
1938,Single Lightsaber,57.2%,Standard Blaster,88.0%,Both,25.9,30.6,66.0,Nabira,Sandstorm,TRUE,37.3,49.1,0
2763,Single Lightsaber,58.0%,Standard Blaster,80.6%,Jedai,158.5,30.8,34.6,Kamira,Snow,TRUE,50.4,64.7,0
4023,Double Lightsaber,91.5%,Experimental Weapon,39.2%,Both,70.6,87.4,90.3,Tavooine,Clear,TRUE,63.7,37.9,1
4280,Double Lightsaber,70.9%,Experimental Weapon,44.0%,Calmtrooper,141.3,71.9,35.2,Corsavant,Storm,FALSE,76.8,15.8,1
1391,Single Lightsaber,55.0%,Standard Blaster,78.6%,Both,5.4,31.4,81.3,Eldor,Clear,TRUE,34.6,60.9,0
5466,Double Lightsaber,81.0%,Experimental Weapon,38.1%,Calmtrooper,101.6,75.3,48.7,Hroth,Clear,TRUE,84.6,46.9,1
2656,Single Lightsaber,47.8%,Standard Blaster,73.2%,Jedai,3.0,32.1,94.2,Mustran,Sandstorm,TRUE,58.6,74.7,0
350,Single Lightsaber,52.8%,Standard Blaster,81.0%,Jedai,31.1,41.4,86.9,Corsavant,Storm,TRUE,36.0,74.9,0
2453,Single Lightsaber,44.0%,Standard Blaster,81.8%,Jedai,77.6,33.9,42.2,Nabira,Snow,TRUE,50.9,78.6,0
2920,Single Lightsaber,43.4%,Standard Blaster,82.3%,Jedai,136.5,26.3,52.2,Eldor,Storm,FALSE,45.8,59.9,0
8828,Ancient Jedai Blade,70.3%,Heavy Blaster,70.5%,Both,163.4,56.7,36.9,Mustran,Snow,TRUE,53.2,59.3,1
1447,Single Lightsaber,44.0%,Standard Blaster,78.3%,Jedai,235.7,27.6,52.2,Hroth,Sandstorm,TRUE,60.9,70.5,0
6198,Ancient Jedai Blade,65.1%,Heavy Blaster,60.4%,Jedai,165.6,67.0,51.2,Hroth,Snow,FALSE,60.8,59.2,1
578,Single Lightsaber,60.3%,Standard Blaster,78.8%,Both,172.1,29.3,40.3,Nabira,Sandstorm,FALSE,20.3,73.5,0
5296,Double Lightsaber,87.8%,Experimental Weapon,43.0%,Both,196.4,91.9,79.3,Corsavant,Clear,FALSE,100.0,29.2,1
1064,Single Lightsaber,50.2%,Standard Blaster,83.9%,Jedai,101.8,24.6,94.9,Tavooine,Storm,FALSE,44.8,73.4,0
569,Single Lightsaber,52.8%,Standard Blaster,83.6%,Jedai,98.0,24.7,54.0,Hroth,Clear,FALSE,20.0,78.8,0
6664,Ancient Jedai Blade,64.8%,Heavy Blaster,61.8%,Both,107.1,54.7,91.1,Tavooine,Clear,TRUE,54.0,58.7,0
7131,Ancient Jedai Blade,61.1%,Heavy Blaster,58.1%,Jedai,142.6,55.9,64.9,Hroth,Sandstorm,TRUE,43.2,85.2,0
7757,Ancient Jedai Blade,66.9%,Heavy Blaster,64.4%,Jedai,39.5,52.3,41.8,Kamira,Clear,TRUE,67.5,57.2,1
2004,Single Lightsaber,47.0%,Standard Blaster,78.7%,Jedai,176.5,30.0,49.7,Nabira,Snow,FALSE,34.1,68.5,0
6066,Ancient Jedai Blade,66.7%,Heavy Blaster,62.7%,Calmtrooper,229.4,55.8,68.5,Tavooine,Sandstorm,TRUE,59.9,61.2,0
4439,Double Lightsaber,85.5%,Experimental Weapon,39.2%,Both,183.2,86.5,62.3,Eldor,Clear,FALSE,73.9,21.9,1
6114,Ancient Jedai Blade,59.6%,Heavy Blaster,75.2%,Jedai,184.5,53.6,91.6,Mustran,Clear,TRUE,62.3,62.1,0
399,Single Lightsaber,55.0%,Standard Blaster,73.0%,Both,41.6,31.6,89.6,Eldor,Clear,TRUE,56.5,71.4,0
1851,Single Lightsaber,56.7%,Standard Blaster,71.5%,Both,35.3,28.1,54.6,Kamira,Snow,TRUE,42.8,49.1,0
217,Single Lightsaber,48.3%,Standard Blaster,92.3%,Jedai,21.3,29.5,32.8,Nabira,Clear,TRUE,35.7,71.4,0
170,Single Lightsaber,46.6%,Standard Blaster,80.4%,Jedai,187.7,31.8,66.3,Eldor,Clear,FALSE,31.6,65.0,0
5595,Double Lightsaber,90.1%,Experimental Weapon,37.9%,Calmtrooper,50.5,80.8,44.3,Nabira,Snow,TRUE,80.9,31.3,1
2925,Single Lightsaber,55.4%,Standard Blaster,79.2%,Both,25.3,38.4,85.0,Hroth,Clear,FALSE,46.6,64.7,0
5233,Double Lightsaber,77.3%,Experimental Weapon,46.0%,Calmtrooper,28.6,85.0,81.5,Tavooine,Snow,TRUE,82.9,29.5,1
104,Single Lightsaber,49.6%,Standard Blaster,79.1%,Both,33.2,25.6,66.9,Tavooine,Storm,FALSE,40.4,67.3,0
2568,Single Lightsaber,50.0%,Standard Blaster,81.2%,Both,120.9,33.0,39.5,Nabira,Clear,TRUE,26.9,65.8,0
6351,Ancient Jedai Blade,64.8%,Heavy Blaster,60.0%,Jedai,108.5,55.9,35.7,Corsavant,Clear,FALSE,41.4,51.2,1
3855,Double Lightsaber,77.3%,Experimental Weapon,36.5%,Calmtrooper,172.8,75.3,34.5,Hroth,Snow,TRUE,85.6,37.5,1
3313,Double Lightsaber,80.9%,Experimental Weapon,40.5%,Calmtrooper,236.6,75.3,84.3,Mustran,Sandstorm,FALSE,100.0,46.2,1
4336,Double Lightsaber,89.1%,Experimental Weapon,30.9%,Calmtrooper,111.2,88.4,30.6,Eldor,Snow,TRUE,79.9,36.1,1
1176,Single Lightsaber,48.9%,Standard Blaster,91.3%,Jedai,42.8,29.2,85.9,Mustran,Clear,FALSE,52.4,67.6,0
636,Single Lightsaber,48.9%,Standard Blaster,80.3%,Both,137.2,29.9,44.3,Mustran,Storm,TRUE,46.8,75.9,0
6502,Ancient Jedai Blade,63.8%,Heavy Blaster,67.7%,Both,129.4,51.8,51.1,Corsavant,Clear,FALSE,57.4,56.4,0
1272,Single Lightsaber,46.6%,Standard Blaster,75.5%,Jedai,8.0,25.1,72.7,Hroth,Storm,TRUE,41.3,60.7,0
8725,Ancient Jedai Blade,62.9%,Heavy Blaster,69.5%,Both,248.3,53.2,88.6,Mustran,Clear,TRUE,73.5,51.5,0
6835,Ancient Jedai Blade,65.7%,Heavy Blaster,65.4%,Calmtrooper,10.8,49.5,63.3,Eldor,Storm,TRUE,29.8,68.0,0
6433,Ancient Jedai Blade,65.5%,Heavy Blaster,59.6%,Calmtrooper,55.2,56.3,65.3,Kamira,Sandstorm,FALSE,79.1,75.1,0
3613,Double Lightsaber,83.5%,Experimental Weapon,31.5%,Both,28.1,82.5,83.5,Kamira,Sandstorm,FALSE,66.0,19.1,1
4475,Double Lightsaber,80.7%,Experimental Weapon,37.5%,Calmtrooper,96.1,78.2,55.4,Mustran,Clear,FALSE,68.1,44.7,1
6212,Ancient Jedai Blade,63.4%,Heavy Blaster,62.4%,Both,60.1,52.9,35.6,Eldor,Sandstorm,TRUE,61.9,71.3,0
4338,Double Lightsaber,80.5%,Experimental Weapon,41.3%,Calmtrooper,172.4,81.7,44.7,Mustran,Clear,TRUE,67.4,27.7,1
3108,Double Lightsaber,81.8%,Experimental Weapon,43.5%,Calmtrooper,214.9,80.1,75.7,Corsavant,Storm,FALSE,87.0,41.7,1
8140,Ancient Jedai Blade,72.9%,Heavy Blaster,58.9%,Calmtrooper,204.3,58.7,57.1,Hroth,Snow,FALSE,70.0,39.5,1
7038,Ancient Jedai Blade,68.9%,Heavy Blaster,64.6%,Jedai,241.9,56.0,81.3,Corsavant,Snow,TRUE,77.4,60.2,0
5357,Double Lightsaber,85.0%,Experimental Weapon,36.8%,Calmtrooper,223.3,75.8,88.2,Hroth,Storm,FALSE,81.5,31.0,1
3381,Double Lightsaber,93.1%,Experimental Weapon,35.3%,Calmtrooper,170.2,80.9,88.2,Kamira,Clear,TRUE,78.1,21.7,1
1765,Single Lightsaber,36.7%,Standard Blaster,86.2%,Jedai,93.6,37.0,87.5,Tavooine,Sandstorm,FALSE,56.8,59.0,0
8308,Ancient Jedai Blade,66.8%,Heavy Blaster,65.6%,Both,34.3,65.2,51.0,Hroth,Sandstorm,TRUE,52.5,50.7,1
6479,Ancient Jedai Blade,69.3%,Heavy Blaster,72.0%,Both,78.3,52.2,76.5,Tavooine,Sandstorm,TRUE,66.1,60.9,0
5224,Double Lightsaber,93.3%,Experimental Weapon,33.3%,Both,45.7,75.8,91.5,Eldor,Clear,FALSE,72.9,27.6,1
482,Single Lightsaber,41.8%,Standard Blaster,82.4%,Jedai,61.4,25.7,76.6,Nabira,Clear,TRUE,40.4,76.5,0
2717,Single Lightsaber,49.3%,Standard Blaster,85.4%,Jedai,213.7,35.5,78.3,Hroth,Clear,TRUE,38.7,64.0,0
6466,Ancient Jedai Blade,73.5%,Heavy Blaster,73.1%,Both,62.8,49.3,52.3,Kamira,Sandstorm,TRUE,52.1,69.7,0
4677,Double Lightsaber,79.5%,Experimental Weapon,36.1%,Both,126.5,92.1,37.4,Nabira,Snow,TRUE,66.8,23.1,1
5309,Double Lightsaber,83.6%,Experimental Weapon,42.3%,Calmtrooper,41.2,81.0,94.1,Kamira,Storm,TRUE,93.1,22.9,1
5508,Double Lightsaber,88.0%,Experimental Weapon,37.7%,Calmtrooper,84.1,82.3,54.5,Mustran,Clear,TRUE,70.5,34.1,1
2471,Single Lightsaber,47.8%,Standard Blaster,74.7%,Both,200.7,29.7,93.2,Tavooine,Storm,FALSE,41.2,62.5,0
3944,Double Lightsaber,82.8%,Experimental Weapon,36.4%,Calmtrooper,230.2,78.7,54.3,Kamira,Sandstorm,FALSE,71.0,42.4,1
2050,Single Lightsaber,50.3%,Standard Blaster,75.3%,Jedai,232.1,39.9,73.4,Corsavant,Clear,FALSE,63.9,77.6,0
2023,Single Lightsaber,50.1%,Standard Blaster,86.4%,Jedai,135.7,34.2,46.8,Kamira,Clear,TRUE,44.0,77.5,0
6149,Ancient Jedai Blade,61.9%,Heavy Blaster,66.1%,Both,182.7,63.7,63.5,Hroth,Sandstorm,FALSE,73.8,74.9,0
2215,Single Lightsaber,60.9%,Standard Blaster,72.8%,Jedai,225.9,16.6,79.0,Corsavant,Clear,TRUE,51.0,49.6,0
3651,Double Lightsaber,81.9%,Experimental Weapon,47.3%,Calmtrooper,244.1,84.4,81.0,Kamira,Clear,TRUE,69.6,24.6,1
8321,Ancient Jedai Blade,65.6%,Heavy Blaster,64.7%,Calmtrooper,48.3,57.6,90.9,Tavooine,Clear,TRUE,56.3,67.5,0
1438,Single Lightsaber,43.3%,Standard Blaster,84.3%,Jedai,57.3,33.8,40.3,Corsavant,Clear,FALSE,59.7,83.8,0
7236,Ancient Jedai Blade,71.7%,Heavy Blaster,67.1%,Jedai,129.7,52.3,76.8,Hroth,Snow,TRUE,64.0,57.5,0
8664,Ancient Jedai Blade,65.4%,Heavy Blaster,71.5%,Both,27.2,56.5,68.6,Eldor,Clear,FALSE,43.6,65.6,0
1497,Single Lightsaber,51.6%,Standard Blaster,78.8%,Both,187.7,24.0,75.7,Corsavant,Clear,TRUE,54.5,86.4,0
544,Single Lightsaber,43.7%,Standard Blaster,76.1%,Jedai,197.5,28.0,44.2,Corsavant,Storm,FALSE,47.8,55.3,0
8359,Ancient Jedai Blade,64.7%,Heavy Blaster,61.6%,Jedai,25.4,55.7,39.2,Hroth,Clear,FALSE,61.8,39.8,1
7424,Ancient Jedai Blade,58.9%,Heavy Blaster,72.6%,Calmtrooper,82.3,56.1,34.2,Nabira,Clear,TRUE,62.7,62.1,1
1337,Single Lightsaber,46.1%,Standard Blaster,78.3%,Jedai,4.2,34.9,55.4,Kamira,Snow,FALSE,35.7,56.7,0
5445,Double Lightsaber,83.5%,Experimental Weapon,42.6%,Calmtrooper,32.6,81.9,86.7,Tavooine,Snow,TRUE,68.7,26.8,1
3210,Double Lightsaber,79.4%,Experimental Weapon,36.4%,Calmtrooper,166.7,75.9,61.8,Hroth,Snow,TRUE,95.3,37.9,1
2261,Single Lightsaber,49.8%,Standard Blaster,79.8%,Jedai,160.5,30.4,56.7,Mustran,Clear,TRUE,51.3,69.2,0
6229,Ancient Jedai Blade,60.8%,Heavy Blaster,70.7%,Jedai,217.4,55.6,89.1,Eldor,Sandstorm,FALSE,56.9,81.9,0
2510,Single Lightsaber,52.1%,Standard Blaster,80.4%,Both,85.9,37.2,79.5,Eldor,Snow,FALSE,32.7,75.0,0
2096,Single Lightsaber,46.7%,Standard Blaster,77.9%,Jedai,114.6,27.3,79.9,Hroth,Sandstorm,TRUE,40.4,64.5,0
6286,Ancient Jedai Blade,58.7%,Heavy Blaster,69.5%,Calmtrooper,224.3,54.2,56.8,Nabira,Sandstorm,FALSE,49.1,50.0,0
1850,Single Lightsaber,42.1%,Standard Blaster,79.5%,Both,49.3,31.6,40.4,Nabira,Storm,TRUE,36.5,65.3,0
5822,Double Lightsaber,78.1%,Experimental Weapon,35.4%,Both,86.0,70.4,36.7,Kamira,Storm,FALSE,63.6,21.8,1
8529,Ancient Jedai Blade,61.1%,Heavy Blaster,65.1%,Both,236.0,61.7,40.4,Corsavant,Sandstorm,TRUE,59.1,57.8,1
6478,Ancient Jedai Blade,61.2%,Heavy Blaster,56.5%,Jedai,223.0,42.0,47.1,Corsavant,Storm,FALSE,54.1,61.6,0
2239,Single Lightsaber,48.2%,Standard Blaster,83.7%,Jedai,27.8,31.8,32.7,Tavooine,Sandstorm,FALSE,26.4,57.1,0
5801,Double Lightsaber,90.3%,Experimental Weapon,43.2%,Calmtrooper,238.8,75.6,86.0,Nabira,Snow,TRUE,75.2,38.8,1
213,Single Lightsaber,55.3%,Standard Blaster,70.6%,Jedai,234.1,30.9,73.9,Kamira,Storm,TRUE,29.5,72.1,0
2489,Single Lightsaber,56.6%,Standard Blaster,74.6%,Jedai,169.8,31.0,93.6,Mustran,Clear,TRUE,44.0,73.7,0
6195,Ancient Jedai Blade,63.5%,Heavy Blaster,66.8%,Both,236.8,63.4,78.3,Hroth,Sandstorm,FALSE,60.0,62.1,0
8068,Ancient Jedai Blade,71.2%,Heavy Blaster,67.1%,Both,146.6,56.1,40.9,Corsavant,Sandstorm,FALSE,77.7,62.5,1
8613,Ancient Jedai Blade,63.7%,Heavy Blaster,72.0%,Jedai,179.7,52.3,91.7,Kamira,Snow,TRUE,55.1,66.0,0
3211,Double Lightsaber,88.9%,Experimental Weapon,48.1%,Calmtrooper,123.0,79.5,85.1,Corsavant,Sandstorm,TRUE,86.6,15.1,1
5779,Double Lightsaber,84.6%,Experimental Weapon,47.0%,Both,121.3,87.6,77.4,Corsavant,Sandstorm,FALSE,94.1,18.1,1
5609,Double Lightsaber,87.6%,Experimental Weapon,38.8%,Calmtrooper,85.2,85.1,74.4,Corsavant,Snow,TRUE,77.2,34.3,1
2324,Single Lightsaber,52.5%,Standard Blaster,86.4%,Jedai,122.6,27.3,53.8,Tavooine,Sandstorm,TRUE,39.3,61.0,0
6150,Ancient Jedai Blade,65.1%,Heavy Blaster,66.7%,Both,19.2,57.4,39.0,Hroth,Clear,FALSE,51.3,54.7,1
3324,Double Lightsaber,86.8%,Experimental Weapon,45.5%,Calmtrooper,115.0,78.8,87.4,Nabira,Clear,FALSE,86.8,24.0,1
1760,Single Lightsaber,52.3%,Standard Blaster,74.6%,Jedai,4.4,39.1,71.0,Nabira,Snow,FALSE,22.5,58.5,0
1119,Single Lightsaber,54.4%,Standard Blaster,78.2%,Jedai,217.8,31.2,47.7,Nabira,Snow,TRUE,39.0,76.9,0
5555,Double Lightsaber,75.6%,Experimental Weapon,39.2%,Calmtrooper,14.9,82.3,36.7,Tavooine,Sandstorm,FALSE,83.5,34.0,1
7220,Ancient Jedai Blade,57.9%,Heavy Blaster,60.5%,Calmtrooper,29.2,50.4,35.4,Kamira,Sandstorm,TRUE,54.8,58.4,1
7843,Ancient Jedai Blade,65.5%,Heavy Blaster,63.5%,Calmtrooper,241.7,55.0,38.2,Tavooine,Clear,FALSE,61.6,58.1,1
1355,Single Lightsaber,52.5%,Standard Blaster,74.8%,Both,14.4,32.3,32.9,Tavooine,Sandstorm,FALSE,41.4,94.1,0
3060,Double Lightsaber,84.3%,Experimental Weapon,41.1%,Calmtrooper,85.5,80.1,34.6,Eldor,Sandstorm,TRUE,93.1,37.0,1
3103,Double Lightsaber,84.2%,Experimental Weapon,37.9%,Calmtrooper,11.3,77.1,68.0,Corsavant,Clear,FALSE,76.1,37.4,1
5313,Double Lightsaber,78.4%,Experimental Weapon,36.2%,Both,34.5,72.1,72.1,Hroth,Clear,TRUE,69.0,41.1,1
1044,Single Lightsaber,44.4%,Standard Blaster,92.5%,Jedai,71.8,32.2,68.5,Corsavant,Sandstorm,TRUE,44.3,62.5,0
2899,Single Lightsaber,51.7%,Standard Blaster,86.4%,Both,10.3,35.8,39.9,Kamira,Snow,FALSE,43.7,87.0,0
2232,Single Lightsaber,45.0%,Standard Blaster,80.7%,Jedai,212.9,25.8,71.8,Nabira,Sandstorm,TRUE,52.4,68.0,0
7687,Ancient Jedai Blade,69.3%,Heavy Blaster,63.0%,Both,157.2,49.9,75.1,Tavooine,Storm,TRUE,64.7,76.1,0
6399,Ancient Jedai Blade,73.6%,Heavy Blaster,59.7%,Both,44.0,54.1,79.3,Eldor,Snow,FALSE,61.4,60.3,0
2247,Single Lightsaber,51.6%,Standard Blaster,85.7%,Both,204.7,28.1,78.2,Eldor,Storm,FALSE,40.3,72.3,0
8557,Ancient Jedai Blade,64.4%,Heavy Blaster,68.3%,Jedai,60.0,54.4,48.2,Kamira,Storm,TRUE,55.2,69.8,0
8825,Ancient Jedai Blade,62.8%,Heavy Blaster,70.7%,Calmtrooper,172.3,46.5,40.0,Kamira,Sandstorm,FALSE,63.2,62.6,0
5843,Double Lightsaber,85.7%,Experimental Weapon,41.1%,Calmtrooper,161.0,84.2,92.9,Hroth,Storm,FALSE,88.6,30.9,1
4002,Double Lightsaber,89.2%,Experimental Weapon,37.7%,Calmtrooper,112.9,78.1,71.2,Nabira,Sandstorm,TRUE,90.6,29.5,1
3560,Double Lightsaber,82.1%,Experimental Weapon,51.1%,Both,203.6,78.9,41.9,Corsavant,Snow,TRUE,92.1,10.0,1
2128,Single Lightsaber,45.7%,Standard Blaster,88.4%,Jedai,183.2,32.1,77.2,Tavooine,Clear,TRUE,20.0,77.1,0
3299,Double Lightsaber,75.7%,Experimental Weapon,34.1%,Both,220.9,70.6,57.7,Tavooine,Storm,TRUE,84.1,35.9,1
7660,Ancient Jedai Blade,64.9%,Heavy Blaster,63.0%,Calmtrooper,70.0,63.5,89.2,Tavooine,Sandstorm,TRUE,71.8,45.3,1
5918,Double Lightsaber,73.2%,Experimental Weapon,33.4%,Calmtrooper,106.7,80.0,61.9,Mustran,Storm,TRUE,85.9,50.9,1
3572,Double Lightsaber,89.5%,Experimental Weapon,50.6%,Calmtrooper,203.8,84.4,86.0,Eldor,Storm,FALSE,79.6,16.4,1
1260,Single Lightsaber,50.4%,Standard Blaster,92.6%,Both,114.4,26.5,52.1,Tavooine,Snow,TRUE,39.1,69.2,0
6878,Ancient Jedai Blade,55.9%,Heavy Blaster,67.9%,Calmtrooper,117.5,45.7,50.9,Corsavant,Storm,TRUE,52.3,57.6,0
6051,Ancient Jedai Blade,62.9%,Heavy Blaster,62.4%,Jedai,40.1,60.1,35.5,Tavooine,Snow,TRUE,72.6,65.0,1
6094,Ancient Jedai Blade,58.0%,Heavy Blaster,68.7%,Jedai,57.1,50.4,65.9,Kamira,Snow,FALSE,62.6,31.5,1
7506,Ancient Jedai Blade,71.3%,Heavy Blaster,59.8%,Both,179.0,51.1,47.6,Tavooine,Snow,TRUE,55.6,70.6,0
4444,Double Lightsaber,85.7%,Experimental Weapon,35.8%,Both,108.5,82.6,35.5,Nabira,Sandstorm,TRUE,72.9,47.5,1
7659,Ancient Jedai Blade,61.2%,Heavy Blaster,79.0%,Calmtrooper,222.8,52.3,30.8,Hroth,Storm,TRUE,58.7,58.5,0
5959,Double Lightsaber,77.8%,Experimental Weapon,42.3%,Calmtrooper,86.7,83.7,72.6,Hroth,Snow,FALSE,80.8,39.1,1
5141,Double Lightsaber,83.4%,Experimental Weapon,37.6%,Calmtrooper,8.5,77.8,41.2,Nabira,Clear,FALSE,97.5,37.0,1
2560,Single Lightsaber,53.1%,Standard Blaster,80.9%,Jedai,25.4,28.4,70.0,Corsavant,Storm,FALSE,40.0,70.0,0
2437,Single Lightsaber,59.0%,Standard Blaster,80.0%,Jedai,83.7,38.3,72.7,Corsavant,Sandstorm,TRUE,48.0,68.1,0
4712,Double Lightsaber,82.0%,Experimental Weapon,41.7%,Calmtrooper,107.9,72.2,79.7,Corsavant,Snow,FALSE,85.5,38.4,1
8670,Ancient Jedai Blade,62.1%,Heavy Blaster,68.4%,Both,142.2,52.5,31.4,Tavooine,Sandstorm,TRUE,60.5,65.9,1
3073,Double Lightsaber,88.9%,Experimental Weapon,39.3%,Calmtrooper,73.8,88.4,34.6,Tavooine,Clear,FALSE,87.2,39.8,1
653,Single Lightsaber,52.0%,Standard Blaster,75.6%,Jedai,176.3,35.7,77.8,Eldor,Storm,TRUE,60.7,71.1,0
4705,Double Lightsaber,90.1%,Experimental Weapon,37.5%,Both,83.4,76.4,37.8,Kamira,Snow,TRUE,85.3,19.2,1
1480,Single Lightsaber,47.8%,Standard Blaster,75.7%,Both,78.3,24.7,57.2,Eldor,Clear,TRUE,42.4,68.8,0
6915,Ancient Jedai Blade,63.0%,Heavy Blaster,79.7%,Calmtrooper,27.6,63.3,81.5,Mustran,Clear,TRUE,59.8,49.2,0
23,Single Lightsaber,56.0%,Standard Blaster,80.7%,Jedai,62.6,22.2,32.5,Corsavant,Storm,TRUE,60.0,58.0,0
6979,Ancient Jedai Blade,63.9%,Heavy Blaster,68.2%,Jedai,131.8,47.2,69.4,Tavooine,Clear,FALSE,60.6,68.4,0
1173,Single Lightsaber,39.9%,Standard Blaster,82.3%,Jedai,56.2,36.1,69.8,Hroth,Sandstorm,TRUE,44.5,87.7,0
7782,Ancient Jedai Blade,63.7%,Heavy Blaster,68.1%,Jedai,249.8,59.8,35.1,Hroth,Storm,FALSE,66.5,75.9,1
7810,Ancient Jedai Blade,71.1%,Heavy Blaster,61.9%,Both,31.9,59.2,42.6,Corsavant,Storm,FALSE,69.0,60.4,1
7534,Ancient Jedai Blade,65.8%,Heavy Blaster,65.5%,Jedai,61.2,47.1,71.4,Nabira,Clear,FALSE,62.5,72.4,0
1381,Single Lightsaber,51.0%,Standard Blaster,82.9%,Jedai,215.6,32.6,48.6,Hroth,Snow,TRUE,48.6,64.6,0
2474,Single Lightsaber,50.0%,Standard Blaster,75.5%,Jedai,205.4,33.5,43.8,Corsavant,Clear,FALSE,50.9,72.5,0
3305,Double Lightsaber,82.7%,Experimental Weapon,39.2%,Calmtrooper,184.1,82.5,84.5,Nabira,Clear,FALSE,67.2,22.5,1
3896,Double Lightsaber,80.0%,Experimental Weapon,36.4%,Both,0.1,74.1,33.8,Hroth,Snow,FALSE,73.7,19.6,1
8454,Ancient Jedai Blade,69.0%,Heavy Blaster,65.7%,Jedai,87.4,57.9,72.8,Hroth,Snow,FALSE,56.2,61.6,0
3452,Double Lightsaber,90.7%,Experimental Weapon,30.0%,Both,174.1,81.3,94.3,Mustran,Clear,TRUE,65.2,18.5,1
801,Single Lightsaber,46.0%,Standard Blaster,87.1%,Jedai,184.7,26.8,70.6,Mustran,Storm,TRUE,46.0,73.9,0
3431,Double Lightsaber,77.7%,Experimental Weapon,44.1%,Both,38.3,85.1,59.9,Corsavant,Sandstorm,TRUE,98.0,30.3,1
3708,Double Lightsaber,91.5%,Experimental Weapon,37.0%,Calmtrooper,203.7,78.1,84.1,Kamira,Sandstorm,TRUE,80.4,32.1,1
7053,Ancient Jedai Blade,63.4%,Heavy Blaster,64.8%,Calmtrooper,161.2,44.3,79.0,Tavooine,Sandstorm,FALSE,76.3,57.1,0
8053,Ancient Jedai Blade,71.7%,Heavy Blaster,62.3%,Calmtrooper,161.9,54.5,36.1,Kamira,Storm,FALSE,53.8,55.6,1
4548,Double Lightsaber,79.7%,Experimental Weapon,46.9%,Both,61.9,62.7,85.0,Kamira,Sandstorm,TRUE,87.5,18.3,1
7728,Ancient Jedai Blade,56.6%,Heavy Blaster,67.3%,Calmtrooper,76.7,58.2,42.2,Corsavant,Storm,TRUE,53.6,58.2,1
8453,Ancient Jedai Blade,63.3%,Heavy Blaster,66.2%,Both,24.2,49.3,50.8,Hroth,Snow,FALSE,67.1,74.6,0
5606,Double Lightsaber,79.8%,Experimental Weapon,46.1%,Calmtrooper,65.0,68.1,53.9,Nabira,Clear,FALSE,87.6,47.6,1
4849,Double Lightsaber,88.8%,Experimental Weapon,44.2%,Calmtrooper,187.7,74.9,91.8,Kamira,Storm,FALSE,91.5,30.1,1
5650,Double Lightsaber,82.3%,Experimental Weapon,46.9%,Calmtrooper,158.6,84.8,41.0,Corsavant,Clear,FALSE,94.3,19.7,1
2567,Single Lightsaber,51.4%,Standard Blaster,83.6%,Jedai,95.5,28.3,40.0,Corsavant,Storm,FALSE,35.2,68.7,0
1253,Single Lightsaber,45.7%,Standard Blaster,80.1%,Both,53.5,31.2,70.6,Kamira,Storm,TRUE,34.2,74.0,0
4494,Double Lightsaber,85.2%,Experimental Weapon,44.7%,Both,162.5,72.3,86.4,Eldor,Clear,TRUE,87.4,27.0,1
8866,Ancient Jedai Blade,71.2%,Heavy Blaster,66.2%,Jedai,73.1,58.8,50.7,Hroth,Clear,FALSE,52.6,67.3,0
105,Single Lightsaber,54.4%,Standard Blaster,87.4%,Both,74.7,30.5,90.8,Eldor,Sandstorm,FALSE,37.3,72.1,0
